ID,date,DnInv,VC,Item,code,In,Out,Balance
90,7/8/2019,200,Rehana Sharm,?? ??? ????,78313,0,416,184
91,7/8/2019,200,Rehana Sharm,????? ???? 110 ??,70152,0,35000,685000
92,7/8/2019,200,Rehana Sharm,???? ????,62154,0,6000,34000
93,7/8/2019,200,Rehana Sharm,????? ????,62155,0,5000,28000
94,7/8/2019,201,Rehana Royal,???? ??????? ????? ?????,8081,0,41,0
95,7/8/2019,201,Rehana Royal,???? ?????? ????? ?????,8050,0,18,0
96,7/8/2019,201,Rehana Royal,????? ????? 60??,8156,0,60,2
97,7/8/2019,201,Rehana Royal,????? ?????40??,8158,0,60,60
98,7/8/2019,201,Rehana Royal,?? ??? ????,78313,0,180,4
99,7/8/2019,201,Rehana Royal,????? ???? 110 ??,70152,0,100000,585000
100,7/8/2019,201,Rehana Royal,???? ????,62154,0,20000,14000
101,7/8/2019,201,Rehana Royal,????? ????,62155,0,10000,18000
102,7/8/2019,201,Rehana Royal,????? ???? ????? ????,62144,0,20000,40000
103,7/8/2019,202,Coral Sea Orintal,??? ?????????? ???? 75 ??3,77251,0,30000,160000
104,7/8/2019,202,Coral Sea Orintal,????? ?????? ?????  96 ??,78153,0,72000,300000
105,7/8/2019,203,Sunrise Arabian Beach,??? ???? ??????,66177,0,600,4320
106,7/8/2019,203,Sunrise Arabian Beach,??? ???? ????  250 ??3,66171,0,216,1008
107,7/8/2019,204,Chamilion Aqua Park,????? ???? 110 ??,70152,0,40000,545000
108,7/8/2019,204,Chamilion Aqua Park,??? ???? ????,22763,0,120,216
109,7/8/2019,204,Chamilion Aqua Park,??? ???? 180 ??,66175,0,240,600
110,7/8/2019,204,Chamilion Aqua Park,??? ?????????? ???? 75 ??3,77251,0,2000,158000
111,7/8/2019,205,Grand Plaza,????? ???? 110 ??,70152,0,50000,495000
112,7/8/2019,205,Grand Plaza,????? ?????? ?????  96 ??,78153,0,12000,240000
113,7/8/2019,205,Grand Plaza,??? ??????? ???? 300??3,67174,0,1200,1800
114,7/8/2019,205,Grand Plaza,??? ?????????? ???? 75 ??3,77251,0,5000,153000
115,7/8/2019,206,Rixos Seagate,??? ???? ??? 200 ??3,59153,0,25000,0
116,7/8/2019,207,Parrotel Beach,????? ????,62155,0,10000,8000
117,7/8/2019,207,Parrotel Beach,??? ???? ??????,66177,0,300,4020
118,7/8/2019,207,Parrotel Beach,??? ??????? ????,66169,0,200,2300
119,7/8/2019,208,Parrotel Aqua Park,??? ?????????? ???? 75 ??3,77251,0,16000,137000
120,7/9/2019,209,Royal Al Batros (Moderna),??? ???? 300 ??,66176,0,960,720
121,7/9/2019,210,Coral Sea imperial,????? ???? 110 ??,70152,0,5000,490000
122,7/9/2019,210,Coral Sea imperial,????? ???? ????? ????,62141,0,12000,40000
123,7/8/2019,210,Coral Sea imperial,????? ?????? ?????  96 ??,78153,0,6000,246000
124,7/9/2019,211,Aeroangel,???? ?????? ???? 90 × 90 × 30 ??,54253,0,2000,0
125,7/9/2019,211,Aeroangel,????? ???? ????? ????,62141,0,4000,36000
126,7/9/2019,212,Parcelo,??? ???? ??????,66177,0,1200,2820
